Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,Ms,logHc,logTc,logER,logElong,logHV,logCost
64.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.583980343079773,0.02399399999999996,0.0,1.0,-0.005432518871514836,56.9567502,5695.67502,0.0,0.016348773841961855,0.03916799999999998,8.36,0.9216,4.3196,13.0,0.0,0.0,13.0,0.0,79.684,0.030721349329852838,1.1750399999999988,-0.0004693015660797422,2.47,2.714656615,3.095866453,1.044147621,0.650307523,2.36272745,1.096214585
63.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.547515910649725,0.02399399999999996,0.0,1.0,-0.0054785575291989835,56.987632149999996,5698.763215,0.0,0.016438689417192055,0.03962699999999998,8.370000000000001,0.9324,4.3207,13.0,0.0,0.0,13.0,0.0,79.633,0.03092062300469591,1.1888099999999986,-0.0004750225244383975,2.47,2.758124304,3.096214585,1.020775488,0.650307523,2.374143211,1.10754913
62.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.513975139224865,0.02399399999999996,0.0,1.0,-0.005521029148253994,57.0185141,5701.851409999999,0.0,0.01652098175563184,0.04005199999999998,8.379999999999999,0.9424,4.3218,13.0,0.0,0.0,13.0,0.0,79.582,0.031105914205478195,1.2015599999999986,-0.0004803471423613162,2.47,2.808075868,3.096214585,0.996511672,0.650307523,2.384819184,1.118595365
61.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.483257496066438,0.02399399999999996,0.0,1.0,-0.005559971594085944,57.04939605,5704.939605,0.0,0.016595778697866253,0.040442999999999986,8.39,0.9516,4.322900000000001,13.0,0.0,0.0,13.0,0.0,79.531,0.03127742230381186,1.2132899999999986,-0.0004852750479203711,2.46,2.882979654,3.096214585,0.971739591,0.650307523,2.39473178,1.129367596
60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.455273543052012,0.02399399999999996,0.0,1.0,-0.005595418999514958,57.080278,5708.0278,0.0,0.01666319552913723,0.04079999999999998,8.4,0.96,4.324,13.0,0.0,0.0,13.0,0.0,79.48,0.031435323825350255,1.2239999999999986,-0.0004898058380030778,2.46,2.863626165,3.096214585,0.949877704,0.650307523,2.403823749,1.139564266
59.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.42994403536513,0.02399399999999996,0.0,1.0,-0.00562740195755438,57.111159949999994,5711.115995,0.0,0.01672333577335321,0.04112299999999998,8.41,0.9675999999999999,4.3251,13.0,0.0,0.0,13.0,0.0,79.429,0.031579773835513664,1.2336899999999984,-0.000493939078217218,2.46,2.668954042,3.095866453,0.929418926,0.650307523,2.41204033,1.149834697
58.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.407199148796241,0.02399399999999996,0.0,1.0,-0.0056559476895975645,57.142041899999995,5714.2041899999995,0.0,0.016776291882057186,0.04141199999999998,8.42,0.9743999999999999,4.3262,13.0,0.0,0.0,13.0,0.0,79.378,0.031710907135070424,1.2423599999999986,-0.0004976743027890369,2.46,2.490197346,3.095518042,0.906873535,0.748188027,2.41936087,1.159867847
57.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.386977819243274,0.02399399999999996,0.0,1.0,-0.005681080191455615,57.17292385,5717.292385,0.0,0.01682214583008709,0.04166699999999998,8.43,0.9803999999999999,4.3273,13.0,0.0,0.0,13.0,0.0,79.327,0.031828839286437885,1.2500099999999985,-0.0005010110144574899,2.46,2.29817601,3.095518042,0.883093359,0.748188027,2.425713509,1.169380495
56.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36922718089607,0.02399399999999996,0.0,1.0,-0.005702820359298227,57.2038058,5720.380579999999,0.0,0.016860969627704947,0.04188799999999999,8.440000000000001,0.9856000000000001,4.3284,13.0,0.0,0.0,13.0,0.0,79.27600000000001,0.03193366748804349,1.2566399999999989,-0.0005039486843638492,2.45,2.603425869,3.095169351,0.860936621,0.748188027,2.431090233,1.178976947
55.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.353902091994797,0.02399399999999996,0.0,1.0,-0.005721186097214774,57.234687750000006,5723.468774999999,0.0,0.01689282575732795,0.04207499999999999,8.45,0.9900000000000001,4.3295,13.0,0.0,0.0,13.0,0.0,79.225,0.03202547131109981,1.2622499999999988,-0.0005064867519354085,2.45,2.621300942,3.094471129,0.840733235,0.748188027,2.435462121,1.188365926
